,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
122,0.018214941024780273,0.005962293557221588,0.4244563579559326,0.004878151757409955,kd_tree,10,50,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 50, 'weights': 'uniform'}",0.761688863700765,0.7619722300935109,0.761688863700765,0.7617833191650137,0.00013358019858063737,19
123,0.020038366317749023,0.0038091563723499353,0.3592263062795003,0.024851961483683252,kd_tree,10,50,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 50, 'weights': 'distance'}",0.7214508359308586,0.7115330121847548,0.7268347973930291,0.7199395485028809,0.006337673069695383,109
124,0.017047961552937824,0.0035790951623247,0.4988096555074056,0.01977550390333106,kd_tree,10,100,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 100, 'weights': 'uniform'}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,1
125,0.019264062245686848,0.003021770767804457,0.4322493076324463,0.012808831709382415,kd_tree,10,100,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 100, 'weights': 'distance'}",0.7274015301785208,0.7177670728251629,0.7296684613204873,0.724945688108057,0.005159724297250447,73
126,0.017541805903116863,0.004532831065499051,0.15965771675109863,0.02577510608795284,kd_tree,50,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 1, 'weights': 'uniform'}",0.6418248795692831,0.621422499291584,0.6381411164635874,0.6337961651081515,0.008877808737137402,223
127,0.014945268630981445,0.0026479376279215654,0.09143336613972981,0.010592381030968,kd_tree,50,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 1, 'weights': 'distance'}",0.6418248795692831,0.621422499291584,0.6381411164635874,0.6337961651081515,0.008877808737137402,223
128,0.01766808827718099,0.001749764822343557,0.1915266513824463,0.004352254345763742,kd_tree,50,3,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'weights': 'uniform'}",0.6933975630490223,0.687730235194106,0.693964295834514,0.6916973646925474,0.0028147094409655517,158
129,0.017028331756591797,0.003928139741626587,0.12034773826599121,0.0067293156370632785,kd_tree,50,3,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 3, 'weights': 'distance'}",0.6602436950977614,0.6472088410314537,0.6599603287050155,0.6558042882780769,0.006078999871428728,211
130,0.01720317204793294,0.0018331868405370667,0.18082674344380698,0.004251149934775055,kd_tree,50,5,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 5, 'weights': 'uniform'}",0.7231510342873335,0.7200340039671295,0.7203173703598753,0.7211674695381127,0.0014073547204828019,100
131,0.019020239512125652,0.002528846653426172,0.14123169581095377,0.01883540745957294,kd_tree,50,5,distance,"{'algorithm': 'kd_tree', 'leaf_size': 50, 'n_neighbors': 5, 'weights': 'distance'}",0.678095777840748,0.6568432983848116,0.6814961745536979,0.6721450835930858,0.010908686061161868,188
